Input,Match type,Approved symbol,Approved name,HGNC ID,Location
7SK,Alias symbol,RN7SK,RNA component of 7SK nuclear ribonucleoprotein,HGNC:10037,6p12.2
AC004854.4,Alias symbol,LINC01952,long intergenic non-protein coding RNA 1952,HGNC:52775,7p13
AC005154.6,Alias symbol,GARS1-DT,GARS1 divergent transcript,HGNC:48951,7p14.3
AC005682.5,Alias symbol,SNHG26,small nucleolar RNA host gene 26,HGNC:53131,7p15.3
AC006262.5,Alias symbol,IGFL2-AS1,IGFL2 antisense RNA 1,HGNC:52559,19q13.32
AC007271.3,Alias symbol,IL1R1-AS1,IL1R1 antisense RNA 1,HGNC:53898,2q12.1
AC007365.1,Alias symbol,LINC02579,long intergenic non-protein coding RNA 2579,HGNC:27942,2p14
AC007386.2,Alias symbol,LINC02245,long intergenic non-protein coding RNA 2245,HGNC:53134,2p14
AC007403.1,Alias symbol,LINC01628,long intergenic non-protein coding RNA 1628,HGNC:52259,2p14
AC007731.1,Alias symbol,FAM230G,family with sequence similarity 230 member G,HGNC:52423,22q11.21
AC009892.10,Alias symbol,LILRB1-AS1,LILRB1 antisense RNA 1,HGNC:53114,19q13.42
AC016735.2,Alias symbol,LINC02590,long intergenic non-protein coding RNA 2590,HGNC:53861,2p21
AC016831.7,Alias symbol,LINC00513,long intergenic non-protein coding RNA 513,HGNC:43566,7q32.3
AC026904.1,Alias symbol,LINC02599,long intergenic non-protein coding RNA 2599,HGNC:53931,8q11.21
AC073284.4,Alias symbol,LINC02862,long intergenic non-protein coding RNA 2862,HGNC:54419,2q35
AC078883.3,Alias symbol,ITGA6-AS1,ITGA6 antisense RNA 1,HGNC:40308,2q31.1
AC079630.2,Alias symbol,LINC02555,long intergenic non-protein coding RNA 2555,HGNC:53593,12q12
AC079630.2,Alias symbol,LINC02471,long intergenic non-protein coding RNA 2471,HGNC:53410,12q12
AC079767.4,Alias symbol,LINC01857,long intergenic non-protein coding RNA 1857,HGNC:52673,2q33.3
AC079776.2,Alias symbol,LINC02572,long intergenic non-protein coding RNA 2572,HGNC:53634,2q21.1
AC091814.2,Alias symbol,LINC02470,long intergenic non-protein coding RNA 2470,HGNC:53409,12p13.31
AC092159.2,Alias symbol,TMEM18-DT,TMEM18 divergent transcript,HGNC:54481,2p25.3
AC092620.3,Alias symbol,LINC02631,long intergenic non-protein coding RNA 2631,HGNC:54112,2q22.1
AC093609.1,Alias symbol,LINC02580,long intergenic non-protein coding RNA 2580,HGNC:53751,2p21
AC104653.1,Alias symbol,ACTR3-AS1,ACTR3 antisense RNA 1,HGNC:53965,2q14.1
AC141928.1,Alias symbol,LINC02600,long intergenic non-protein coding RNA 2600,HGNC:53177,4p16.3
AC145110.1,Alias symbol,LINC02099,long intergenic non-protein coding RNA 2099,HGNC:52953,8p12
ACA59,Alias symbol,SNORA59B,"small nucleolar RNA, H/ACA box 59B",HGNC:32658,17p11.2
ACA59,Alias symbol,SNORA59A,"small nucleolar RNA, H/ACA box 59A",HGNC:32653,1p36.21
ACA64,Alias symbol,SNORA78,"small nucleolar RNA, H/ACA box 78",HGNC:32664,16p13.3
ACAT2,Alias symbol,SOAT2,sterol O-acyltransferase 2,HGNC:11178,12q13.13
ACP1,Alias symbol,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,HGNC:7694,16p12.2
ACTBP2,Alias symbol,ACTBP8,ACTB pseudogene 8,HGNC:141,6q15
ADA2,Alias symbol,TADA2A,transcriptional adaptor 2A,HGNC:11531,17q12
ADAM23,Alias symbol,ADAM28,ADAM metallopeptidase domain 28,HGNC:206,8p21.2
ADRA1A,Alias symbol,ADRA1D,adrenoceptor alpha 1D,HGNC:280,20p13
AGPAT9,Alias symbol,LPCAT1,lysophosphatidylcholine acyltransferase 1,HGNC:25718,5p15.33
AGT,Alias symbol,AGXT,alanine--glyoxylate and serine--pyruvate aminotransferase,HGNC:341,2q37.3
